"date","trap","latitude","longitude","capture","valid_reading","exposure_days","orchard_FTD","valid_traps","total_capture","precipitation_mm","tmax_C","tmean_C","tmin_C","humidity_pct","wind_ms","lure_replacement","insecticide_application"
"2019-10-17","N°136",-28.5528379045667,-50.8353795449732,,0,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°137",-28.5534464134262,-50.8312433680291,,0,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°138",-28.5553646697305,-50.8301869995606,,0,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°139",-28.557651072485,-50.8286836287846,,0,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°14",-28.5192342311125,-50.8322920126574,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°140",-28.555564144534,-50.8249695717498,,0,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°141",-28.5562750551038,-50.8253546437573,,0,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°142",-28.5574517581053,-50.8254932411304,,0,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°143",-28.5582681433938,-50.8251253059475,,0,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°144",-28.5574490518277,-50.8262340965763,,0,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°145",-28.5589846703218,-50.8259788872975,,0,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°146",-28.5361123426973,-50.8334302522304,,0,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°15",-28.519443016403,-50.8275830234647,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°16",-28.5183980594324,-50.8273043614657,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°17",-28.5185202267595,-50.8329450523972,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°18",-28.5183038229285,-50.8345181420965,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°19",-28.5168183879028,-50.8312248527475,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°2",-28.5226975590844,-50.8285877789842,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°20",-28.5162443605134,-50.8369136982595,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°21",-28.517176941209,-50.8355282514287,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°22",-28.5179786679582,-50.8365794824744,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°23",-28.5184230376208,-50.834933653709,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°24",-28.5177473696281,-50.8369535045181,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°25",-28.516784211365,-50.8387293325246,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°26",-28.5143206687178,-50.8391852390641,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°27",-28.518120298904,-50.8391046488082,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°28",-28.5298722723754,-50.8400981544784,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°29",-28.5310648245722,-50.8372879150631,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°3",-28.5208546411398,-50.8263681206596,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°30",-28.5302533964902,-50.8390646223621,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°31",-28.5304870710193,-50.8375355583627,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°32",-28.527998933126,-50.8348404706057,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°33",-28.5255415024497,-50.8330994377729,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°34",-28.5291758806777,-50.8365494629198,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°35",-28.5252419425235,-50.8345835042955,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°36",-28.5265019409341,-50.8383236830758,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°37",-28.5280275004099,-50.8377471047461,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°38",-28.5254035932006,-50.837731878073,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°39",-28.5256522159834,-50.8407098677502,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°4",-28.5188945404516,-50.8260635871931,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°40",-28.525665229808,-50.8428130518546,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°41",-28.5248114184288,-50.8457950504682,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°42",-28.5287796597929,-50.840052130356,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°43",-28.5271023648909,-50.8400264582789,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°44",-28.5265841991163,-50.845249869334,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°45",-28.5310259075831,-50.8437761438289,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°46",-28.5306742945945,-50.841531390061,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°47",-28.5321867024663,-50.8480460736776,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°48",-28.5319898564169,-50.8494346478534,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°49",-28.5336382643944,-50.8484594447485,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°5",-28.521817781579,-50.824825576397,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°50",-28.5329113655242,-50.8469549174402,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°51",-28.5324787387567,-50.8449500003251,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°52",-28.5361673258028,-50.8506005449635,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°53",-28.5352725069212,-50.8479292572887,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°54",-28.53891242844,-50.848794429416,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°55",-28.539684373869,-50.8478981797299,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°56",-28.5371217338924,-50.8453304827447,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°57",-28.5364038177383,-50.8432906372936,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°58",-28.5339111578294,-50.8394762579278,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°59",-28.5362313253969,-50.8412694291575,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°6",-28.5212111057412,-50.8224255516987,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°60",-28.5376412266817,-50.8438420231586,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°61",-28.539460935843,-50.8429368760834,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°62",-28.5381994180563,-50.8438463676127,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°63",-28.5402703253063,-50.8453530374618,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
